"id";"cond_c";"target_no";"condA";"condB";"judgment";"list";"tendency"
"jjtuu0hmrhmpeveul9akvdjmb4";"c1";"t11";"canonical";"cleft";-70;"1";"canonical"
"jjtuu0hmrhmpeveul9akvdjmb4";"c1";"t16";"canonical";"cleft";-68;"1";"canonical"
"jjtuu0hmrhmpeveul9akvdjmb4";"c3";"t9";"canonical";"cleft";55;"1";"cleft"
"m5pfhsacu1vnhnrg0j03v6rmd6";"c3";"t1";"canonical";"cleft";100;"5";"cleft"
"m5pfhsacu1vnhnrg0j03v6rmd6";"c3";"t2";"canonical";"cleft";-90;"5";"canonical"
"m5pfhsacu1vnhnrg0j03v6rmd6";"c1";"t4";"canonical";"cleft";28;"5";"cleft"
"m5pfhsacu1vnhnrg0j03v6rmd6";"c1";"t5";"canonical";"cleft";30;"5";"cleft"
"nlaj8eappepjt1kv9b50h9rd36";"c1";"t16";"canonical";"cleft";0;"1";"equal"
"nlaj8eappepjt1kv9b50h9rd36";"c3";"t6";"canonical";"cleft";-42;"1";"canonical"
"nlaj8eappepjt1kv9b50h9rd36";"c1";"t11";"canonical";"cleft";-67;"1";"canonical"
"nlaj8eappepjt1kv9b50h9rd36";"c3";"t9";"canonical";"cleft";53;"1";"cleft"
"o9pfpno197vntuqohiu38g9c71";"c1";"t15";"canonical";"cleft";18;"8";"cleft"
"o9pfpno197vntuqohiu38g9c71";"c3";"t13";"canonical";"cleft";-43;"8";"canonical"
"o9pfpno197vntuqohiu38g9c71";"c1";"t8";"canonical";"cleft";-34;"8";"canonical"
"o9pfpno197vntuqohiu38g9c71";"c3";"t14";"canonical";"cleft";-32;"8";"canonical"
"ph5vfk827nm2q4csdfaqctn0b0";"c1";"t10";"canonical";"cleft";0;"3";"equal"
"ph5vfk827nm2q4csdfaqctn0b0";"c1";"t7";"canonical";"cleft";-65;"3";"canonical"
"ph5vfk827nm2q4csdfaqctn0b0";"c3";"t12";"canonical";"cleft";-54;"3";"canonical"
"ph5vfk827nm2q4csdfaqctn0b0";"c3";"t3";"canonical";"cleft";71;"3";"cleft"
"plri9c3jmjfn41263mceg22r44";"c1";"t14";"canonical";"cleft";29;"7";"cleft"
"plri9c3jmjfn41263mceg22r44";"c3";"t8";"canonical";"cleft";37;"7";"cleft"
"plri9c3jmjfn41263mceg22r44";"c3";"t15";"canonical";"cleft";59;"7";"cleft"
"plri9c3jmjfn41263mceg22r44";"c1";"t13";"canonical";"cleft";-54;"7";"canonical"
"ql0uk41sl8iqhtq5nalv0ucr71";"c1";"t8";"canonical";"cleft";0;"8";"equal"
"ql0uk41sl8iqhtq5nalv0ucr71";"c1";"t15";"canonical";"cleft";13;"8";"cleft"
"ql0uk41sl8iqhtq5nalv0ucr71";"c3";"t13";"canonical";"cleft";77;"8";"cleft"
"ql0uk41sl8iqhtq5nalv0ucr71";"c3";"t14";"canonical";"cleft";40;"8";"cleft"
"qt6drrbrsuq859ugfcsqtdb8q1";"c1";"t9";"canonical";"cleft";45;"2";"cleft"
"qt6drrbrsuq859ugfcsqtdb8q1";"c1";"t6";"canonical";"cleft";-64;"2";"canonical"
"qt6drrbrsuq859ugfcsqtdb8q1";"c3";"t11";"canonical";"cleft";-57;"2";"canonical"
"qt6drrbrsuq859ugfcsqtdb8q1";"c3";"t16";"canonical";"cleft";-65;"2";"canonical"
"sjjcrko59crndm7b4j2gem89h1";"c3";"t14";"canonical";"cleft";46;"8";"cleft"
"sjjcrko59crndm7b4j2gem89h1";"c3";"t13";"canonical";"cleft";73;"8";"cleft"
"sjjcrko59crndm7b4j2gem89h1";"c1";"t15";"canonical";"cleft";20;"8";"cleft"
"sjjcrko59crndm7b4j2gem89h1";"c1";"t8";"canonical";"cleft";-17;"8";"canonical"
"sncjoa64ok7vovm86ojncce0p4";"c3";"t12";"canonical";"cleft";62;"3";"cleft"
"sncjoa64ok7vovm86ojncce0p4";"c1";"t10";"canonical";"cleft";54;"3";"cleft"
"sncjoa64ok7vovm86ojncce0p4";"c3";"t3";"canonical";"cleft";53;"3";"cleft"
"sncjoa64ok7vovm86ojncce0p4";"c1";"t7";"canonical";"cleft";75;"3";"cleft"
"sshvtg9u6batiqf9g5hf9f1c67";"c1";"t14";"canonical";"cleft";-100;"7";"canonical"
"sshvtg9u6batiqf9g5hf9f1c67";"c1";"t13";"canonical";"cleft";-100;"7";"canonical"
"sshvtg9u6batiqf9g5hf9f1c67";"c3";"t8";"canonical";"cleft";-100;"7";"canonical"
"sshvtg9u6batiqf9g5hf9f1c67";"c3";"t15";"canonical";"cleft";0;"7";"equal"
