id;context;cond;exp;list;position
p1;c3-2;pq2-2;100;list1;2
p1;c2-4;pq1-4;60;list1;2
p1;control1-c1;control1-q5;0;list1;2
p1;c1-6;pq1-6;100;list1;2
p1;c3-1;irr-1;0;list1;2
p1;filler3-c2;filler3-q3;100;list1;2
p1;filler2-c1;filler2-q5;100;list1;2
p1;control2-c2;control2-q4;0;list1;2
p1;control3-c3;control3-q5;0;list1;2
p2;filler3-c2;filler3-q1;71;list1;2
p2;c1-5;pq3-5;19;list1;2
p2;filler2-c1;filler2-q5;100;list1;2
p2;control2-c2;control2-q4;14;list1;2
p2;c3-1;then-1;100;list1;2
p2;control3-c3;control3-q4;0;list1;2
p2;c3-2;pq3-2;100;list1;2
p2;filler1-c3;filler1-q2;35;list1;2
p2;c2-4;pq1-4;30;list1;2
p2;c1-6;then-6;100;list1;2
p2;c2-3;pq1-3;57;list1;2
p2;control1-c1;control1-q4;0;list1;2
p3;c1-6;irr-6;1;list1;2
p3;c3-1;irr-1;2;list1;2
p3;c3-2;pq3-2;58;list1;2
p3;filler2-c1;filler2-q3;0;list1;2
p3;c2-4;pq3-4;1;list1;2
p3;c2-3;pq3-3;0;list1;2
p3;control1-c1;control1-q3;44;list1;2
p3;c1-5;pq2-5;49;list1;2
p3;control2-c2;control2-q3;3;list1;2
p3;filler1-c3;filler1-q3;76;list1;2
p3;control3-c3;control3-q5;0;list1;2
p3;filler3-c2;filler3-q2;60;list1;2
p4;filler2-c1;filler2-q3;0;list1;2
p4;control1-c1;control1-q5;0;list1;2
p4;c3-1;then-1;0;list1;2
p4;control3-c3;control3-q5;0;list1;2
p4;c3-2;pq1-2;0;list1;2
p4;c2-4;irr-4;0;list1;2
p4;c1-6;irr-6;0;list1;2
p4;control2-c2;control2-q1;100;list1;2
p4;filler3-c2;filler3-q2;0;list1;2
p4;filler1-c3;filler1-q5;0;list1;2
p4;c2-3;irr-3;0;list1;2
p4;c1-5;pq2-5;51;list1;2
p5;control3-c3;control3-q4;0;list1;2
p5;c3-2;irr-2;0;list1;2
p5;filler1-c3;filler1-q4;73;list1;2
p5;control2-c2;control2-q2;100;list1;2
p5;c1-6;pq1-6;85;list1;2
p5;c2-3;pq2-3;100;list1;2
p5;filler3-c2;filler3-q3;43;list1;2
p5;filler2-c1;filler2-q3;29;list1;2
p5;control1-c1;control1-q3;20;list1;2
p5;c1-5;pq1-5;100;list1;2
p5;c3-1;pq3-1;64;list1;2
p5;c2-4;pq1-4;25;list1;2
p1;c1-5;then-5;100;list1;3
p1;c2-3;pq2-3;100;list1;3
p1;filler1-c3;filler1-q5;0;list1;3
p1;c3-2;irr-2;0;list1;3
p1;c2-4;pq2-4;100;list1;3
p1;control1-c1;control1-q3;70;list1;3
p1;c1-6;irr-6;0;list1;3
p1;c3-1;pq2-1;100;list1;3
p1;filler3-c2;filler3-q5;0;list1;3
p1;filler2-c1;filler2-q3;13;list1;3
p1;control2-c2;control2-q5;0;list1;3
p1;control3-c3;control3-q3;79;list1;3
p2;filler3-c2;filler3-q2;100;list1;3
p2;c1-5;irr-5;0;list1;3
p2;filler2-c1;filler2-q1;100;list1;3
p2;control2-c2;control2-q2;100;list1;3
p2;c3-1;irr-1;0;list1;3
p2;control3-c3;control3-q3;75;list1;3
p2;c3-2;then-2;100;list1;3
p2;filler1-c3;filler1-q1;86;list1;3
p2;c2-4;then-4;100;list1;3
p2;c1-6;pq2-6;100;list1;3
p2;c2-3;pq2-3;72;list1;3
p2;control1-c1;control1-q5;0;list1;3
p3;c1-6;pq3-6;29;list1;3
p3;c3-1;pq2-1;42;list1;3
p3;c3-2;then-2;52;list1;3
p3;filler2-c1;filler2-q2;3;list1;3
p3;c2-4;pq1-4;3;list1;3
p3;c2-3;pq2-3;6;list1;3
p3;control1-c1;control1-q4;0;list1;3
p3;c1-5;irr-5;0;list1;3
p3;control2-c2;control2-q4;8;list1;3
p3;filler1-c3;filler1-q4;56;list1;3
p3;control3-c3;control3-q1;71;list1;3
p3;filler3-c2;filler3-q1;7;list1;3
p4;filler2-c1;filler2-q4;47;list1;3
p4;control1-c1;control1-q2;68;list1;3
p4;c3-1;pq3-1;0;list1;3
p4;control3-c3;control3-q2;0;list1;3
p4;c3-2;pq2-2;68;list1;3
p4;c2-4;pq1-4;33;list1;3
p4;c1-6;pq2-6;43;list1;3
p4;control2-c2;control2-q5;0;list1;3
p4;filler3-c2;filler3-q4;100;list1;3
p4;filler1-c3;filler1-q2;0;list1;3
p4;c2-3;pq3-3;0;list1;3
p4;c1-5;pq3-5;0;list1;3
p5;control3-c3;control3-q3;51;list1;3
p5;c3-2;then-2;95;list1;3
p5;filler1-c3;filler1-q2;22;list1;3
p5;control2-c2;control2-q3;0;list1;3
p5;c1-6;pq2-6;100;list1;3
p5;c2-3;then-3;86;list1;3
p5;filler3-c2;filler3-q5;10;list1;3
p5;filler2-c1;filler2-q1;56;list1;3
p5;control1-c1;control1-q1;78;list1;3
p5;c1-5;irr-5;2;list1;3
p5;c3-1;pq2-1;35;list1;3
p5;c2-4;then-4;53;list1;3
p1;c1-5;pq3-5;0;list1;4
p1;c2-3;pq1-3;100;list1;4
p1;filler1-c3;filler1-q1;0;list1;4
p1;c3-2;pq1-2;16;list1;4
p1;c2-4;then-4;100;list1;4
p1;control1-c1;control1-q2;100;list1;4
p1;c1-6;pq3-6;78;list1;4
p1;c3-1;pq3-1;100;list1;4
p1;filler3-c2;filler3-q1;33;list1;4
p1;filler2-c1;filler2-q1;100;list1;4
p1;control2-c2;control2-q3;0;list1;4
p1;control3-c3;control3-q2;0;list1;4
p2;filler3-c2;filler3-q3;100;list1;4
p2;c1-5;pq1-5;100;list1;4
p2;filler2-c1;filler2-q4;100;list1;4
p2;control2-c2;control2-q3;35;list1;4
p2;c3-1;pq3-1;100;list1;4
p2;control3-c3;control3-q5;0;list1;4
p2;c3-2;pq1-2;41;list1;4
p2;filler1-c3;filler1-q4;90;list1;4
p2;c2-4;irr-4;0;list1;4
p2;c1-6;pq1-6;87;list1;4
p2;c2-3;pq3-3;0;list1;4
p2;control1-c1;control1-q1;91;list1;4
p3;c1-6;pq1-6;59;list1;4
p3;c3-1;pq3-1;54;list1;4
p3;c3-2;pq1-2;1;list1;4
p3;filler2-c1;filler2-q1;55;list1;4
p3;c2-4;then-4;59;list1;4
p3;c2-3;then-3;75;list1;4
p3;control1-c1;control1-q1;87;list1;4
p3;c1-5;then-5;71;list1;4
p3;control2-c2;control2-q5;0;list1;4
p3;filler1-c3;filler1-q2;23;list1;4
p3;control3-c3;control3-q4;0;list1;4
p3;filler3-c2;filler3-q5;0;list1;4
p4;filler2-c1;filler2-q2;57;list1;4
p4;control1-c1;control1-q3;40;list1;4
p4;c3-1;pq1-1;0;list1;4
p4;control3-c3;control3-q3;35;list1;4
p4;c3-2;irr-2;0;list1;4
p4;c2-4;pq3-4;39;list1;4
p4;c1-6;then-6;61;list1;4
p4;control2-c2;control2-q3;31;list1;4
p4;filler3-c2;filler3-q5;41;list1;4
p4;filler1-c3;filler1-q3;93;list1;4
p4;c2-3;pq2-3;65;list1;4
p4;c1-5;irr-5;0;list1;4
p5;control3-c3;control3-q2;0;list1;4
p5;c3-2;pq2-2;100;list1;4
p5;filler1-c3;filler1-q1;8;list1;4
p5;control2-c2;control2-q5;0;list1;4
p5;c1-6;irr-6;0;list1;4
p5;c2-3;pq3-3;0;list1;4
p5;filler3-c2;filler3-q1;21;list1;4
p5;filler2-c1;filler2-q4;59;list1;4
p5;control1-c1;control1-q4;0;list1;4
p5;c1-5;pq3-5;33;list1;4
p5;c3-1;irr-1;0;list1;4
p5;c2-4;pq2-4;75;list1;4
p1;c1-5;pq2-5;85;list1;5
p1;c2-3;then-3;100;list1;5
p1;filler1-c3;filler1-q3;100;list1;5
p1;c3-2;pq3-2;100;list1;5
p1;c2-4;irr-4;0;list1;5
p1;control1-c1;control1-q4;0;list1;5
p1;c1-6;pq2-6;100;list1;5
p1;c3-1;pq1-1;37;list1;5
p1;filler3-c2;filler3-q2;87;list1;5
p1;filler2-c1;filler2-q2;0;list1;5
p1;control2-c2;control2-q2;100;list1;5
p1;control3-c3;control3-q4;0;list1;5
p2;filler3-c2;filler3-q4;100;list1;5
p2;c1-5;then-5;100;list1;5
p2;filler2-c1;filler2-q3;0;list1;5
p2;control2-c2;control2-q1;80;list1;5
p2;c3-1;pq1-1;70;list1;5
p2;control3-c3;control3-q1;100;list1;5
p2;c3-2;irr-2;0;list1;5
p2;filler1-c3;filler1-q5;57;list1;5
p2;c2-4;pq3-4;100;list1;5
p2;c1-6;irr-6;0;list1;5
p2;c2-3;irr-3;0;list1;5
p2;control1-c1;control1-q2;85;list1;5
p3;c1-6;then-6;60;list1;5
p3;c3-1;pq1-1;9;list1;5
p3;c3-2;irr-2;0;list1;5
p3;filler2-c1;filler2-q5;62;list1;5
p3;c2-4;irr-4;0;list1;5
p3;c2-3;irr-3;0;list1;5
p3;control1-c1;control1-q2;29;list1;5
p3;c1-5;pq1-5;49;list1;5
p3;control2-c2;control2-q1;18;list1;5
p3;filler1-c3;filler1-q5;8;list1;5
p3;control3-c3;control3-q3;71;list1;5
p3;filler3-c2;filler3-q4;24;list1;5
p4;filler2-c1;filler2-q5;100;list1;5
p4;control1-c1;control1-q4;0;list1;5
p4;c3-1;irr-1;0;list1;5
p4;control3-c3;control3-q1;100;list1;5
p4;c3-2;then-2;60;list1;5
p4;c2-4;pq2-4;100;list1;5
p4;c1-6;pq3-6;31;list1;5
p4;control2-c2;control2-q2;100;list1;5
p4;filler3-c2;filler3-q1;0;list1;5
p4;filler1-c3;filler1-q4;0;list1;5
p4;c2-3;then-3;44;list1;5
p4;c1-5;pq1-5;100;list1;5
p5;control3-c3;control3-q5;0;list1;5
p5;c3-2;pq1-2;19;list1;5
p5;filler1-c3;filler1-q5;0;list1;5
p5;control2-c2;control2-q1;0;list1;5
p5;c1-6;pq3-6;81;list1;5
p5;c2-3;irr-3;0;list1;5
p5;filler3-c2;filler3-q4;16;list1;5
p5;filler2-c1;filler2-q2;14;list1;5
p5;control1-c1;control1-q2;37;list1;5
p5;c1-5;pq2-5;79;list1;5
p5;c3-1;then-1;100;list1;5
p5;c2-4;irr-4;0;list1;5
