"id";"cond_c";"target_no";"condA";"condB";"judgment";"list";"tendency"
"4f23jld96963hhd5clq97gc2s3";"c3";"t2";"canonical";"cleft";100;"5";"cleft"
"4f23jld96963hhd5clq97gc2s3";"c1";"t5";"canonical";"cleft";-100;"5";"canonical"
"4f23jld96963hhd5clq97gc2s3";"c1";"t4";"canonical";"cleft";-100;"5";"canonical"
"4f23jld96963hhd5clq97gc2s3";"c3";"t1";"canonical";"cleft";-100;"5";"canonical"
"s3htsvat0b8lv32i7msgpdhd14";"c3";"t1";"canonical";"cleft";100;"5";"cleft"
"s3htsvat0b8lv32i7msgpdhd14";"c1";"t4";"canonical";"cleft";0;"5";"equal"
"s3htsvat0b8lv32i7msgpdhd14";"c1";"t5";"canonical";"cleft";100;"5";"cleft"
"s3htsvat0b8lv32i7msgpdhd14";"c3";"t2";"canonical";"cleft";100;"5";"cleft"
"uskbh3tas3sj8gc2vj2841slg6";"c3";"t1";"canonical";"cleft";100;"5";"cleft"
"uskbh3tas3sj8gc2vj2841slg6";"c1";"t4";"canonical";"cleft";-100;"5";"canonical"
"uskbh3tas3sj8gc2vj2841slg6";"c3";"t2";"canonical";"cleft";-100;"5";"canonical"
"uskbh3tas3sj8gc2vj2841slg6";"c1";"t5";"canonical";"cleft";-100;"5";"canonical"
"vaof1k9i74trc0ik9el8q0efd7";"c1";"t4";"canonical";"cleft";61;"5";"cleft"
"vaof1k9i74trc0ik9el8q0efd7";"c1";"t5";"canonical";"cleft";-14;"5";"canonical"
"vaof1k9i74trc0ik9el8q0efd7";"c3";"t2";"canonical";"cleft";65;"5";"cleft"
"vaof1k9i74trc0ik9el8q0efd7";"c3";"t1";"canonical";"cleft";50;"5";"cleft"
"7p2p6bj2s698p2hgtb81siebo6";"c3";"t4";"canonical";"cleft";3;"6";"cleft"
"7p2p6bj2s698p2hgtb81siebo6";"c3";"t5";"canonical";"cleft";61;"6";"cleft"
"7p2p6bj2s698p2hgtb81siebo6";"c1";"t2";"canonical";"cleft";-76;"6";"canonical"
"7p2p6bj2s698p2hgtb81siebo6";"c1";"t1";"canonical";"cleft";-81;"6";"canonical"
"cj5tic1c56udr4vbd18uh5rno4";"c3";"t5";"canonical";"cleft";100;"6";"cleft"
"cj5tic1c56udr4vbd18uh5rno4";"c1";"t2";"canonical";"cleft";-10;"6";"canonical"
"cj5tic1c56udr4vbd18uh5rno4";"c3";"t4";"canonical";"cleft";29;"6";"cleft"
"cj5tic1c56udr4vbd18uh5rno4";"c1";"t1";"canonical";"cleft";-12;"6";"canonical"
"4io8fvv40272a9vtnh12l6s564";"c3";"t15";"canonical";"cleft";0;"7";"equal"
"4io8fvv40272a9vtnh12l6s564";"c3";"t8";"canonical";"cleft";15;"7";"cleft"
"4io8fvv40272a9vtnh12l6s564";"c1";"t14";"canonical";"cleft";-67;"7";"canonical"
"4io8fvv40272a9vtnh12l6s564";"c1";"t13";"canonical";"cleft";-21;"7";"canonical"
"b3brovpldp0u1vkbbjfrkjisj6";"c1";"t13";"canonical";"cleft";-75;"7";"canonical"
"b3brovpldp0u1vkbbjfrkjisj6";"c1";"t14";"canonical";"cleft";-75;"7";"canonical"
"b3brovpldp0u1vkbbjfrkjisj6";"c3";"t15";"canonical";"cleft";-70;"7";"canonical"
"b3brovpldp0u1vkbbjfrkjisj6";"c3";"t8";"canonical";"cleft";-54;"7";"canonical"
"ppbrkp1th6ei8llr9njuvd3mb0";"c3";"t15";"canonical";"cleft";-100;"7";"canonical"
"ppbrkp1th6ei8llr9njuvd3mb0";"c1";"t13";"canonical";"cleft";100;"7";"cleft"
"ppbrkp1th6ei8llr9njuvd3mb0";"c1";"t14";"canonical";"cleft";100;"7";"cleft"
"ppbrkp1th6ei8llr9njuvd3mb0";"c3";"t8";"canonical";"cleft";100;"7";"cleft"
"00nv23a9sqa6ef5u83d5jplsf6";"c3";"t14";"canonical";"cleft";100;"8";"cleft"
"00nv23a9sqa6ef5u83d5jplsf6";"c3";"t13";"canonical";"cleft";-68;"8";"canonical"
"00nv23a9sqa6ef5u83d5jplsf6";"c1";"t15";"canonical";"cleft";-100;"8";"canonical"
"00nv23a9sqa6ef5u83d5jplsf6";"c1";"t8";"canonical";"cleft";-70;"8";"canonical"
"40ahna38qnli0262gl9dgr8pf2";"c1";"t15";"canonical";"cleft";0;"8";"equal"
"40ahna38qnli0262gl9dgr8pf2";"c1";"t8";"canonical";"cleft";100;"8";"cleft"
"40ahna38qnli0262gl9dgr8pf2";"c3";"t14";"canonical";"cleft";100;"8";"cleft"
"40ahna38qnli0262gl9dgr8pf2";"c3";"t13";"canonical";"cleft";100;"8";"cleft"
"7tgfgj3sh94rkddhhl45b741a0";"c3";"t14";"canonical";"cleft";45;"8";"cleft"
"7tgfgj3sh94rkddhhl45b741a0";"c3";"t13";"canonical";"cleft";-18;"8";"canonical"
"7tgfgj3sh94rkddhhl45b741a0";"c1";"t8";"canonical";"cleft";-11;"8";"canonical"
"7tgfgj3sh94rkddhhl45b741a0";"c1";"t15";"canonical";"cleft";-23;"8";"canonical"
"bh5qhb6b3dn7mf6f78v7l9d9q2";"c3";"t14";"canonical";"cleft";57;"8";"cleft"
"bh5qhb6b3dn7mf6f78v7l9d9q2";"c1";"t15";"canonical";"cleft";50;"8";"cleft"
"bh5qhb6b3dn7mf6f78v7l9d9q2";"c1";"t8";"canonical";"cleft";0;"8";"equal"
"bh5qhb6b3dn7mf6f78v7l9d9q2";"c3";"t13";"canonical";"cleft";66;"8";"cleft"
